gene	p	CHR	POS
ENSSSAG00000071503	0.0451664	ssa01	20666569
ENSSSAG00000104014	0.0397515	ssa01	20774619
ENSSSAG00000072638	1.04E-05	ssa01	21756068
ENSSSAG00000015506	0.0178914	ssa01	21756068
ENSSSAG00000055918	5.70E-10	ssa01	21891172
ENSSSAG00000100093	0.026227	ssa01	22026139
ENSSSAG00000003797	4.33E-30	ssa01	22845835
ENSSSAG00000120493	7.33E-07	ssa01	22976018
ENSSSAG00000001907	2.69E-06	ssa01	23020364
ENSSSAG00000070283	0.0304061	ssa01	23020364
ENSSSAG00000056357	0.0138463	ssa01	23671019
ENSSSAG00000003601	3.66E-07	ssa01	23690155
ENSSSAG00000003806	1.44E-31	ssa01	24674342
ENSSSAG00000002904	0.0227089	ssa01	24744155
ENSSSAG00000001840	0.000862137	ssa01	24877771
ENSSSAG00000043462	2.74E-09	ssa01	25696511
ENSSSAG00000049735	6.47E-09	ssa01	26235746
ENSSSAG00000001941	0.00010004	ssa01	26374290
ENSSSAG00000043443	1.97E-09	ssa01	26843833
ENSSSAG00000049726	0.0149123	ssa01	27100569
ENSSSAG00000084487	0.00324912	ssa01	27101439
ENSSSAG00000001865	0.000885036	ssa01	27113054
ENSSSAG00000001958	3.98E-12	ssa01	27126869
ENSSSAG00000003347	0.0320907	ssa01	27140308
ENSSSAG00000045335	6.95E-19	ssa01	27570143
ENSSSAG00000004793	5.68E-21	ssa01	27844333
ENSSSAG00000043377	1.62E-05	ssa01	28859356
ENSSSAG00000043245	0.0381357	ssa01	28861274
ENSSSAG00000009746	0.00282476	ssa01	29116869
ENSSSAG00000004307	0.000512057	ssa01	29861933
ENSSSAG00000003466	0.000116951	ssa01	29985569
ENSSSAG00000005336	7.34E-20	ssa01	30680702
ENSSSAG00000040275	4.68E-05	ssa01	30917366
ENSSSAG00000009610	5.69E-06	ssa01	30930117
ENSSSAG00000007775	0.00176865	ssa01	31228631
ENSSSAG00000005830	0.0422448	ssa01	31995587
ENSSSAG00000040142	2.37E-09	ssa01	32063180
ENSSSAG00000040444	4.88E-09	ssa01	33659657
ENSSSAG00000001557	0.0252816	ssa01	33659657
ENSSSAG00000015081	0.000632241	ssa01	34314494
ENSSSAG00000005423	0.00589	ssa01	35107087
ENSSSAG00000081753	0.0241522	ssa01	35273164
ENSSSAG00000051825	0.00668962	ssa01	35317978
ENSSSAG00000000890	0.0433337	ssa01	35336404
ENSSSAG00000117096	0.000465406	ssa01	35536079
ENSSSAG00000077003	0.00982126	ssa01	35631257
ENSSSAG00000103013	0.000693711	ssa01	35826016
ENSSSAG00000070012	0.000595095	ssa01	37497190
ENSSSAG00000071720	0.000357931	ssa01	37565539
ENSSSAG00000071501	0.0337705	ssa01	37582670
ENSSSAG00000085836	0.0340148	ssa01	38635613
ENSSSAG00000036764	1.23E-17	ssa01	38686988
ENSSSAG00000040068	1.60E-06	ssa01	39061589
ENSSSAG00000065785	2.86E-06	ssa01	39063293
ENSSSAG00000085902	0.000252578	ssa01	39256430
ENSSSAG00000040134	1.24E-12	ssa01	39265913
ENSSSAG00000044977	0.000434821	ssa01	39419189
ENSSSAG00000066239	0.000187234	ssa01	40998853
ENSSSAG00000059153	0.0292587	ssa01	41109410
ENSSSAG00000107990	0.0463985	ssa01	42042188
ENSSSAG00000070026	7.33E-05	ssa01	42297587
ENSSSAG00000066213	0.000229408	ssa01	42462432
ENSSSAG00000076520	0.000350294	ssa01	42487736
ENSSSAG00000076556	4.62E-09	ssa01	42496182
ENSSSAG00000082734	1.19E-47	ssa01	43538509
ENSSSAG00000078035	1.16E-14	ssa01	43673687
ENSSSAG00000075891	1.67E-26	ssa01	43754470
ENSSSAG00000051996	0.00252934	ssa01	44243824
ENSSSAG00000108128	2.40E-06	ssa01	44350054
ENSSSAG00000074759	0.00312142	ssa01	44524856
ENSSSAG00000059323	0.0246942	ssa01	44562563
ENSSSAG00000059165	0.00342844	ssa01	45069861
ENSSSAG00000074705	3.01E-05	ssa01	46938944
ENSSSAG00000074554	0.00755515	ssa01	49135212
ENSSSAG00000075915	3.43E-08	ssa01	50107555
ENSSSAG00000007976	5.79E-07	ssa01	50650630
ENSSSAG00000109033	1.64E-22	ssa01	51239105
ENSSSAG00000007000	0.00247733	ssa01	51405022
ENSSSAG00000002303	8.36E-06	ssa01	51553409
ENSSSAG00000006903	0.0112094	ssa01	51694219
ENSSSAG00000053156	3.73E-08	ssa01	52091848
ENSSSAG00000006993	0.00714716	ssa01	52158033
ENSSSAG00000008559	1.49E-18	ssa01	52285974
ENSSSAG00000083347	0.000417697	ssa01	52846955
ENSSSAG00000006603	0.000104995	ssa01	52876049
ENSSSAG00000062463	0.000775939	ssa01	55122891
ENSSSAG00000066078	1.24E-28	ssa01	55517111
ENSSSAG00000008280	0.0151871	ssa01	55735389
ENSSSAG00000055922	0.000494851	ssa01	56855740
ENSSSAG00000120100	0.000194153	ssa01	57095292
ENSSSAG00000112746	9.17E-05	ssa01	57217859
ENSSSAG00000109421	3.43E-25	ssa01	57268728
ENSSSAG00000118169	0.0160973	ssa01	57479362
ENSSSAG00000055949	0.0379646	ssa01	57625423
ENSSSAG00000090451	1.06E-05	ssa01	58225277
ENSSSAG00000068314	3.32E-24	ssa01	58229731
ENSSSAG00000041749	0.004545	ssa01	62318510
ENSSSAG00000112785	0.000136108	ssa01	63082674
ENSSSAG00000003342	2.58E-08	ssa01	63085487
ENSSSAG00000075635	5.07E-09	ssa01	63294338
ENSSSAG00000080274	2.30E-13	ssa01	65092053
ENSSSAG00000002470	7.12E-22	ssa01	65726599
ENSSSAG00000080269	0.00414411	ssa01	65937835
ENSSSAG00000117950	0.00837544	ssa01	66072167
ENSSSAG00000075352	0.00126033	ssa01	66502058
ENSSSAG00000000861	4.25E-05	ssa01	67763721
ENSSSAG00000001815	2.80E-06	ssa01	68309927
ENSSSAG00000007046	0.000126922	ssa01	69704377
ENSSSAG00000074176	0.0124606	ssa01	72236835
ENSSSAG00000071896	0.00132881	ssa01	72458674
ENSSSAG00000006933	0.0137882	ssa01	72800445
ENSSSAG00000060075	4.09E-10	ssa01	73458859
ENSSSAG00000000606	0.00957941	ssa01	74126015
ENSSSAG00000067993	1.35E-06	ssa01	74220379
ENSSSAG00000096804	0.00673301	ssa01	74530347
ENSSSAG00000059556	0.0120636	ssa01	76055054
ENSSSAG00000077679	1.67E-34	ssa01	78108470
ENSSSAG00000001853	0.00766707	ssa01	78300601
ENSSSAG00000096756	0.0334269	ssa01	78649869
ENSSSAG00000000317	2.34E-10	ssa01	78718750
ENSSSAG00000063913	6.31E-07	ssa01	78964042
ENSSSAG00000067050	1.97E-26	ssa01	80884611
ENSSSAG00000067235	0.00691907	ssa01	81044514
ENSSSAG00000067172	1.17E-06	ssa01	81053174
ENSSSAG00000000131	7.26E-10	ssa01	81136116
ENSSSAG00000007559	1.14E-11	ssa01	81919492
ENSSSAG00000077435	0.0136603	ssa01	81919492
ENSSSAG00000119057	1.59E-21	ssa01	82076074
ENSSSAG00000078325	7.02E-14	ssa01	82277180
ENSSSAG00000105707	8.14E-28	ssa01	82544922
ENSSSAG00000066912	0.000218579	ssa01	82544922
ENSSSAG00000000914	0.0044286	ssa01	82900223
ENSSSAG00000067044	0.00496733	ssa01	83089026
ENSSSAG00000088087	1.43E-22	ssa01	83235923
ENSSSAG00000088344	0.0462984	ssa01	83274015
ENSSSAG00000119967	9.74E-23	ssa01	84817675
ENSSSAG00000102069	1.38E-21	ssa01	84817675
ENSSSAG00000001794	0.0021729	ssa01	84830073
ENSSSAG00000102274	3.85E-26	ssa01	84963511
ENSSSAG00000097505	0.00266422	ssa01	86632377
ENSSSAG00000042471	0.0187496	ssa01	86634484
ENSSSAG00000000122	0.000442981	ssa01	87177698
ENSSSAG00000043590	0.0076107	ssa01	87348390
ENSSSAG00000090604	3.56E-06	ssa01	87668274
ENSSSAG00000106651	5.44E-05	ssa01	87668274
ENSSSAG00000001523	6.75E-05	ssa01	87700829
ENSSSAG00000002780	3.30E-05	ssa01	87895072
ENSSSAG00000001100	0.0020261	ssa01	87908698
ENSSSAG00000002137	1.17E-09	ssa01	88300283
ENSSSAG00000001848	6.64E-21	ssa01	88307757
ENSSSAG00000002242	5.40E-07	ssa01	88314353
ENSSSAG00000001615	2.06E-11	ssa01	88346620
ENSSSAG00000107074	0.0130606	ssa01	88511357
ENSSSAG00000106165	0.00935196	ssa01	88511748
ENSSSAG00000002272	0.00219936	ssa01	88554078
ENSSSAG00000004811	1.63E-05	ssa01	88926283
ENSSSAG00000005398	0.00428564	ssa01	89703199
ENSSSAG00000000659	4.82E-25	ssa01	89796039
ENSSSAG00000111353	0.0182688	ssa01	89818610
ENSSSAG00000000172	1.52E-17	ssa01	89826985
ENSSSAG00000097777	7.60E-05	ssa01	89826985
ENSSSAG00000088774	0.00581156	ssa01	89862653
ENSSSAG00000003535	0.00253672	ssa01	89906707
ENSSSAG00000001515	0.0479314	ssa01	90054973
ENSSSAG00000004938	0.019454	ssa01	90139037
ENSSSAG00000071894	3.50E-08	ssa01	90617908
ENSSSAG00000001692	1.25E-06	ssa01	90708924
ENSSSAG00000006666	3.54E-13	ssa01	91263875
ENSSSAG00000000240	0.00615985	ssa01	91592953
ENSSSAG00000110357	1.87E-13	ssa01	91661207
ENSSSAG00000015680	0.0198956	ssa01	91796943
ENSSSAG00000006550	0.00383277	ssa01	92002013
ENSSSAG00000102775	4.28E-48	ssa01	94045592
ENSSSAG00000088837	1.08E-07	ssa01	95852736
ENSSSAG00000114425	0.0352193	ssa01	96607447
ENSSSAG00000005644	0.0024876	ssa01	96630614
ENSSSAG00000001573	0.0441689	ssa01	99465914
ENSSSAG00000003694	0.000707123	ssa01	99825991
ENSSSAG00000096074	0.00369599	ssa01	99825991
ENSSSAG00000056522	0.00465084	ssa01	99825991
ENSSSAG00000043666	0.0135145	ssa01	99825991
ENSSSAG00000104188	2.36E-10	ssa01	99857312
ENSSSAG00000118555	3.86E-86	ssa01	101705632
ENSSSAG00000082064	0.000492998	ssa01	102816088
ENSSSAG00000084682	0.00276426	ssa01	102855207
ENSSSAG00000071995	4.58E-05	ssa01	102866082
ENSSSAG00000086900	0.0255753	ssa01	102930365
ENSSSAG00000001213	4.23E-10	ssa01	103386321
ENSSSAG00000119645	2.14E-33	ssa01	103413621
ENSSSAG00000096529	1.34E-26	ssa01	103413621
ENSSSAG00000103788	5.20E-05	ssa01	103413621
ENSSSAG00000088036	3.20E-14	ssa01	105203492
ENSSSAG00000047183	0.039526	ssa01	105773837
ENSSSAG00000045149	0.0463926	ssa01	106318755
ENSSSAG00000098259	8.88E-20	ssa01	106407693
ENSSSAG00000071969	6.90E-09	ssa01	106887843
ENSSSAG00000060340	3.92E-07	ssa01	106909121
ENSSSAG00000112895	0.00678956	ssa01	106909938
ENSSSAG00000082310	0.0108662	ssa01	107247620
ENSSSAG00000000269	0.0171458	ssa01	110660193
ENSSSAG00000059167	0.000268718	ssa01	115540846
ENSSSAG00000083481	2.99E-13	ssa01	116600422
ENSSSAG00000001170	0.00165381	ssa01	116600422
ENSSSAG00000119863	0.0383028	ssa01	116600422
ENSSSAG00000111788	0.000579357	ssa01	117504970
ENSSSAG00000040518	0.0258391	ssa01	117579790
ENSSSAG00000025146	0.00114316	ssa01	120292734
ENSSSAG00000040023	2.52E-07	ssa01	120939733
ENSSSAG00000001512	0.0318272	ssa01	121168763
ENSSSAG00000115825	0.046565	ssa01	121168763
ENSSSAG00000083287	8.57E-76	ssa01	121182484
ENSSSAG00000088743	6.81E-09	ssa01	122150341
ENSSSAG00000001397	2.47E-12	ssa01	123892641
ENSSSAG00000065996	0.000930375	ssa01	124889196
ENSSSAG00000010118	2.02E-36	ssa01	125038351
ENSSSAG00000010881	0.0128155	ssa01	125160802
ENSSSAG00000000819	2.94E-13	ssa01	125286745
ENSSSAG00000100777	0.00178115	ssa01	125758771
ENSSSAG00000096567	8.40E-09	ssa01	125808825
ENSSSAG00000081862	0.00877869	ssa01	125878014
ENSSSAG00000080973	0.0180217	ssa01	126187568
ENSSSAG00000056442	0.0181891	ssa01	126202603
ENSSSAG00000086516	0.0012132	ssa01	126213629
ENSSSAG00000004458	0.000676889	ssa01	126244330
ENSSSAG00000050730	0.00915517	ssa01	126262862
ENSSSAG00000003200	0.00425205	ssa01	126363665
ENSSSAG00000110808	6.66E-08	ssa01	126431639
ENSSSAG00000004757	2.17E-05	ssa01	126452710
ENSSSAG00000005670	7.75E-07	ssa01	126524589
ENSSSAG00000046417	0.000564896	ssa01	126721687
ENSSSAG00000119820	0.00944364	ssa01	127871290
ENSSSAG00000078720	0.000269091	ssa01	128816270
ENSSSAG00000005930	0.0446851	ssa01	129320624
ENSSSAG00000012085	0.0272038	ssa01	129334846
ENSSSAG00000008571	0.000610006	ssa01	129983394
ENSSSAG00000055658	0.0344082	ssa01	130350744
ENSSSAG00000006936	0.0238881	ssa01	131475188
ENSSSAG00000006930	0.0204542	ssa01	131535260
ENSSSAG00000004003	4.75E-22	ssa01	131801307
ENSSSAG00000006275	0.0104284	ssa01	131843463
ENSSSAG00000006855	1.02E-05	ssa01	132090840
ENSSSAG00000080800	3.48E-10	ssa01	132146243
ENSSSAG00000008580	0.0290105	ssa01	132148754
ENSSSAG00000000897	4.45E-20	ssa01	132166322
ENSSSAG00000092566	0.0476499	ssa01	133191360
ENSSSAG00000000262	0.0339788	ssa01	134098621
ENSSSAG00000006099	0.00511132	ssa01	134808611
ENSSSAG00000005421	3.97E-09	ssa01	134842951
ENSSSAG00000058432	2.17E-07	ssa01	134941775
ENSSSAG00000082446	9.19E-08	ssa01	135011185
ENSSSAG00000000328	7.54E-07	ssa01	135128394
ENSSSAG00000000514	0.0315502	ssa01	135257798
ENSSSAG00000000626	0.00930157	ssa01	135306492
ENSSSAG00000006549	0.0457595	ssa01	135377300
ENSSSAG00000117238	2.85E-05	ssa01	135468354
ENSSSAG00000000910	5.22E-05	ssa01	135500864
ENSSSAG00000001319	2.09E-24	ssa01	135569237
ENSSSAG00000000558	0.0134685	ssa01	135577071
ENSSSAG00000099714	0.0341049	ssa01	137647053
ENSSSAG00000070025	0.000363649	ssa01	137861793
ENSSSAG00000054710	7.88E-12	ssa01	138267915
ENSSSAG00000009437	0.000303716	ssa01	138996201
ENSSSAG00000068536	1.59E-11	ssa01	138996954
ENSSSAG00000068653	0.000853104	ssa01	140341938
ENSSSAG00000002807	0.00251811	ssa01	140674523
ENSSSAG00000008801	0.0112414	ssa01	140886474
ENSSSAG00000042813	3.77E-12	ssa01	141376835
ENSSSAG00000121625	1.14E-11	ssa01	141608166
ENSSSAG00000044669	0.000988095	ssa01	141788485
ENSSSAG00000042591	3.91E-28	ssa01	141933513
ENSSSAG00000083874	2.01E-13	ssa01	142508177
ENSSSAG00000046851	0.0142748	ssa01	142592325
ENSSSAG00000046917	1.37E-22	ssa01	142644002
ENSSSAG00000099892	0.000336901	ssa01	142649665
ENSSSAG00000066152	0.000481379	ssa01	142807045
ENSSSAG00000054392	0.00203094	ssa01	142942569
ENSSSAG00000000140	0.00691816	ssa01	143012432
ENSSSAG00000070335	0.00253936	ssa01	143095356
ENSSSAG00000047353	0.00415583	ssa01	143379389
ENSSSAG00000006668	0.00175372	ssa01	145895027
ENSSSAG00000070287	0.0300424	ssa01	146612091
ENSSSAG00000104108	0.000749635	ssa01	146730119
ENSSSAG00000091545	0.00616742	ssa01	146743722
ENSSSAG00000046043	5.68E-20	ssa01	146923175
ENSSSAG00000071684	1.00E-05	ssa01	146984822
ENSSSAG00000072245	7.38E-09	ssa01	147109558
ENSSSAG00000078440	5.24E-07	ssa01	147890710
ENSSSAG00000000509	0.032613	ssa01	148242993
ENSSSAG00000117584	0.019808	ssa01	148421690
ENSSSAG00000117406	0.000205488	ssa01	148530751
ENSSSAG00000077582	0.032354	ssa01	148772745
ENSSSAG00000077560	0.0451157	ssa01	148814928
ENSSSAG00000077677	4.37E-31	ssa01	148819047
ENSSSAG00000082186	0.0147551	ssa01	148831878
ENSSSAG00000077274	0.00126345	ssa01	149165708
ENSSSAG00000086145	3.11E-05	ssa01	149858606
ENSSSAG00000015618	4.74E-07	ssa01	150428638
ENSSSAG00000042656	8.55E-05	ssa01	150637162
ENSSSAG00000090428	3.66E-10	ssa01	150847566
ENSSSAG00000015691	1.97E-25	ssa01	151279895
ENSSSAG00000078530	0.00923203	ssa01	151755320
ENSSSAG00000092979	2.27E-12	ssa01	151784188
ENSSSAG00000077313	0.0417146	ssa01	153439528
ENSSSAG00000077631	0.0167147	ssa01	153795949
ENSSSAG00000093675	0.000211749	ssa01	154044701
ENSSSAG00000043149	0.00467856	ssa01	154506656
ENSSSAG00000074526	0.0164117	ssa01	154528166
ENSSSAG00000078277	0.0121255	ssa01	154616123
ENSSSAG00000041438	0.00139365	ssa01	154621806
ENSSSAG00000074522	0.0153728	ssa01	154631201
ENSSSAG00000046884	3.51E-14	ssa01	154631366
ENSSSAG00000100616	0.0260306	ssa01	154914518
ENSSSAG00000079447	0.00170679	ssa01	155963169
ENSSSAG00000002850	0.00230094	ssa01	155992013
ENSSSAG00000076717	0.00955842	ssa01	155994243
ENSSSAG00000067447	9.51E-18	ssa01	158137611
ENSSSAG00000111101	0.00420202	ssa01	158137611
ENSSSAG00000086523	2.64E-21	ssa01	158433753
ENSSSAG00000050742	1.53E-28	ssa01	158495769
ENSSSAG00000000519	1.20E-18	ssa01	158749197
ENSSSAG00000055850	7.47E-06	ssa01	158769802
ENSSSAG00000063583	2.95E-05	ssa01	158773714
ENSSSAG00000116908	0.0390518	ssa01	159504440
ENSSSAG00000069446	6.16E-05	ssa01	159675513
ENSSSAG00000102281	1.19E-13	ssa01	159765075
ENSSSAG00000050792	0.0133827	ssa01	159896854
ENSSSAG00000036762	0.0117791	ssa01	160806125
ENSSSAG00000069078	0.000644133	ssa01	160854082
ENSSSAG00000066321	2.99E-07	ssa01	160884053
ENSSSAG00000111428	1.47E-05	ssa01	161226921
ENSSSAG00000116833	0.000620132	ssa01	161231781
ENSSSAG00000071135	9.64E-05	ssa01	161713465
ENSSSAG00000065463	2.27E-07	ssa01	162379387
ENSSSAG00000062925	3.02E-06	ssa01	162379387
ENSSSAG00000101622	0.00112429	ssa01	162719461
ENSSSAG00000076584	7.69E-10	ssa01	162964293
ENSSSAG00000063331	0.00106909	ssa01	163284746
ENSSSAG00000063014	0.0105739	ssa01	163284746
ENSSSAG00000041819	0.0032261	ssa01	163313963
ENSSSAG00000114490	9.67E-06	ssa01	163370544
ENSSSAG00000041707	0.0154894	ssa01	163401578
ENSSSAG00000101287	7.06E-22	ssa01	164460515
ENSSSAG00000076594	1.94E-71	ssa01	164460636
ENSSSAG00000110643	0.0476121	ssa01	166079390
ENSSSAG00000045509	0.00472441	ssa01	166453230
ENSSSAG00000078232	0.0259108	ssa01	166657923
ENSSSAG00000101383	0.00328911	ssa01	166765997
ENSSSAG00000089498	0.0047938	ssa01	166970746
ENSSSAG00000073972	0.000839713	ssa01	167500950
ENSSSAG00000087000	2.97E-07	ssa01	167754916
ENSSSAG00000068430	3.33E-14	ssa01	167758099
ENSSSAG00000120677	1.28E-05	ssa01	167798910
ENSSSAG00000041337	0.00285499	ssa01	167833242
ENSSSAG00000112970	9.00E-05	ssa01	171342113
ENSSSAG00000096369	1.78E-07	ssa01	171437651
ENSSSAG00000048571	0.003851	ssa01	171506479
ENSSSAG00000047388	0.0126287	ssa01	171540638
ENSSSAG00000109365	0.00254996	ssa01	171621515
ENSSSAG00000047532	1.72E-11	ssa01	173073941
ENSSSAG00000048397	1.22E-05	ssa01	173431122
ENSSSAG00000082040	4.61E-06	ssa02	9220907
ENSSSAG00000116949	7.96E-05	ssa02	9220907
ENSSSAG00000099084	0.000636241	ssa02	9220907
ENSSSAG00000102828	0.0074705	ssa02	9220907
ENSSSAG00000118778	0.0109302	ssa02	9220907
ENSSSAG00000015902	0.015478	ssa02	9220907
ENSSSAG00000057804	0.0285329	ssa02	9220907
ENSSSAG00000105762	3.74E-14	ssa02	9221318
ENSSSAG00000051533	0.000249628	ssa02	9221318
ENSSSAG00000048608	0.000115836	ssa02	11359481
ENSSSAG00000090093	0.0407147	ssa02	11359481
ENSSSAG00000009565	2.43E-11	ssa02	11378706
ENSSSAG00000091484	1.52E-08	ssa02	11378706
ENSSSAG00000045030	0.0139397	ssa02	11378706
ENSSSAG00000091308	4.14E-17	ssa02	12146644
ENSSSAG00000120765	4.18E-08	ssa02	12146644
ENSSSAG00000092196	0.0173568	ssa02	12146644
ENSSSAG00000047264	5.55E-11	ssa02	12148297
ENSSSAG00000102957	0.0335359	ssa02	12148297
ENSSSAG00000090598	0.0461745	ssa02	12190108
ENSSSAG00000061125	3.29E-06	ssa02	12200983
ENSSSAG00000114860	1.81E-05	ssa02	12200983
ENSSSAG00000096040	2.05E-05	ssa02	12200983
ENSSSAG00000088915	0.0428157	ssa02	12200983
ENSSSAG00000002917	7.99E-19	ssa02	12242969
ENSSSAG00000047203	6.71E-10	ssa02	12995654
ENSSSAG00000111556	0.0135725	ssa02	12995654
ENSSSAG00000058799	0.014401	ssa02	12995654
ENSSSAG00000039436	0.000172986	ssa02	12997453
ENSSSAG00000093636	1.98E-11	ssa02	14165657
ENSSSAG00000004260	4.79E-10	ssa02	14165657
ENSSSAG00000042862	0.000608751	ssa02	14412179
ENSSSAG00000105976	0.0252428	ssa02	14415400
ENSSSAG00000006875	6.36E-09	ssa02	14459340
ENSSSAG00000007873	1.34E-23	ssa02	14533912
ENSSSAG00000084496	1.30E-10	ssa02	14533912
ENSSSAG00000083782	0.0194138	ssa02	14533912
ENSSSAG00000047298	1.94E-06	ssa02	14694003
ENSSSAG00000100101	0.000438947	ssa02	14709083
ENSSSAG00000089002	0.00754506	ssa02	14709083
ENSSSAG00000004060	0.0383275	ssa02	14709083
ENSSSAG00000109857	1.48E-07	ssa02	15564600
ENSSSAG00000046718	0.000118934	ssa02	16132250
ENSSSAG00000116573	0.000831462	ssa02	16415073
ENSSSAG00000104081	0.0015033	ssa02	16415073
ENSSSAG00000096396	0.00492167	ssa02	16415073
ENSSSAG00000048974	0.0148255	ssa02	16415073
ENSSSAG00000045818	0.0189399	ssa02	16415073
ENSSSAG00000110192	0.0338546	ssa02	16415073
ENSSSAG00000110237	1.43E-06	ssa02	16426860
ENSSSAG00000090622	0.00277126	ssa02	16426860
ENSSSAG00000089964	0.0148111	ssa02	16426860
ENSSSAG00000121026	0.0315974	ssa02	16426860
ENSSSAG00000046871	1.55E-14	ssa02	16493834
ENSSSAG00000007974	0.0344394	ssa02	16737364
ENSSSAG00000050118	0.000276668	ssa02	16737956
ENSSSAG00000090303	1.49E-16	ssa02	16737994
ENSSSAG00000104772	5.94E-11	ssa02	16738303
ENSSSAG00000083872	0.000115133	ssa02	16738303
ENSSSAG00000037910	0.0224665	ssa02	16749964
ENSSSAG00000094688	0.0235249	ssa02	16749964
ENSSSAG00000008077	2.66E-32	ssa02	16750382
ENSSSAG00000120962	7.45E-16	ssa02	17089600
ENSSSAG00000052610	0.00507726	ssa02	17089600
ENSSSAG00000117063	9.57E-06	ssa02	17127962
ENSSSAG00000102560	0.00232795	ssa02	17151403
ENSSSAG00000113816	0.0120369	ssa02	17151403
ENSSSAG00000102887	0.0106226	ssa02	17250509
ENSSSAG00000105338	0.0196301	ssa02	17250509
ENSSSAG00000113606	1.81E-10	ssa02	17943161
ENSSSAG00000082121	2.00E-46	ssa02	17946642
ENSSSAG00000046593	3.14E-09	ssa02	18225322
ENSSSAG00000043633	6.83E-06	ssa02	18225322
ENSSSAG00000116271	6.87E-14	ssa02	18240040
ENSSSAG00000050319	7.48E-41	ssa02	18252575
ENSSSAG00000049615	1.10E-13	ssa02	18252575
ENSSSAG00000102983	0.00187672	ssa02	18546005
ENSSSAG00000008340	0.000702241	ssa02	19111829
ENSSSAG00000111661	1.83E-38	ssa02	19428368
ENSSSAG00000087395	0.0352945	ssa02	19622706
ENSSSAG00000092653	0.0353174	ssa02	19622706
ENSSSAG00000093741	0.00143371	ssa02	19632015
ENSSSAG00000062664	0.00469223	ssa02	19632015
ENSSSAG00000098315	0.0058196	ssa02	19632015
ENSSSAG00000119865	0.0138502	ssa02	19632015
ENSSSAG00000113243	0.0290397	ssa02	19632015
ENSSSAG00000007617	0.0167611	ssa02	19913359
ENSSSAG00000107211	0.00110191	ssa02	20313529
ENSSSAG00000013144	0.00599184	ssa02	20316350
ENSSSAG00000103606	0.00411978	ssa02	20421390
ENSSSAG00000121759	7.21E-05	ssa02	20430974
