type	clan	gene1	gene2	ID	redip.class
ss4r	OG5v0000048.271	ENSSSAG00000112349	ENSSSAG00000111819	ENSSSAG00000111819_Ssal_ENSSSAG00000112349_Ssal	NA
ss4r	OG5v0000048.414	ENSSSAG00000046299	ENSSSAG00000073229	ENSSSAG00000046299_Ssal_ENSSSAG00000073229_Ssal	NA
ss4r	OG5v0000053.209	ENSSSAG00000099679	ENSSSAG00000079577	ENSSSAG00000079577_Ssal_ENSSSAG00000099679_Ssal	NA
ss4r	OG5v0000056.247	ENSSSAG00000083146	ENSSSAG00000086340	ENSSSAG00000083146_Ssal_ENSSSAG00000086340_Ssal	NA
ss4r	OG5v0000058.223	ENSSSAG00000100077	ENSSSAG00000104554	ENSSSAG00000100077_Ssal_ENSSSAG00000104554_Ssal	NA
ss4r	OG5v0000060.212	ENSSSAG00000100900	ENSSSAG00000071985	ENSSSAG00000071985_Ssal_ENSSSAG00000100900_Ssal	NA
ss4r	OG5v0000062.327	ENSSSAG00000121020	ENSSSAG00000103004	ENSSSAG00000103004_Ssal_ENSSSAG00000121020_Ssal	NA
ss4r	OG5v0000062.294	ENSSSAG00000004234	ENSSSAG00000000489	ENSSSAG00000000489_Ssal_ENSSSAG00000004234_Ssal	NA
ss4r	OG5v0000062.334	ENSSSAG00000000498	ENSSSAG00000004247	ENSSSAG00000000498_Ssal_ENSSSAG00000004247_Ssal	NA
ss4r	OG5v0000069.201	ENSSSAG00000046978	ENSSSAG00000111099	ENSSSAG00000046978_Ssal_ENSSSAG00000111099_Ssal	LORe
ss4r	OG5v0000069.299	ENSSSAG00000072377	ENSSSAG00000117241	ENSSSAG00000072377_Ssal_ENSSSAG00000117241_Ssal	AORe
ss4r	OG5v0000069.238	ENSSSAG00000110640	ENSSSAG00000016311	ENSSSAG00000016311_Ssal_ENSSSAG00000110640_Ssal	LORe
ss4r	OG5v0000069.258	ENSSSAG00000077200	ENSSSAG00000039318	ENSSSAG00000039318_Ssal_ENSSSAG00000077200_Ssal	AORe
ss4r	OG5v0000073.268	ENSSSAG00000086671	ENSSSAG00000044433	ENSSSAG00000044433_Ssal_ENSSSAG00000086671_Ssal	NA
ss4r	OG5v0000073.249	ENSSSAG00000111969	ENSSSAG00000045566	ENSSSAG00000045566_Ssal_ENSSSAG00000111969_Ssal	NA
ss4r	OG5v0000073.303	ENSSSAG00000003355	ENSSSAG00000045568	ENSSSAG00000003355_Ssal_ENSSSAG00000045568_Ssal	LORe
ss4r	OG5v0000075.189	ENSSSAG00000045031	ENSSSAG00000065669	ENSSSAG00000045031_Ssal_ENSSSAG00000065669_Ssal	NA
ss4r	OG5v0000075.210	ENSSSAG00000067465	ENSSSAG00000050237	ENSSSAG00000050237_Ssal_ENSSSAG00000067465_Ssal	AORe
ss4r	OG5v0000075.229	ENSSSAG00000077260	ENSSSAG00000073643	ENSSSAG00000073643_Ssal_ENSSSAG00000077260_Ssal	AORe
ss4r	OG5v0000075.251	ENSSSAG00000079436	ENSSSAG00000070856	ENSSSAG00000070856_Ssal_ENSSSAG00000079436_Ssal	AORe
ss4r	OG5v0000075.289	ENSSSAG00000061402	ENSSSAG00000115461	ENSSSAG00000061402_Ssal_ENSSSAG00000115461_Ssal	LORe
ss4r	OG5v0000075.307	ENSSSAG00000099503	ENSSSAG00000104488	ENSSSAG00000099503_Ssal_ENSSSAG00000104488_Ssal	NA
ss4r	OG5v0000075.173	ENSSSAG00000081191	ENSSSAG00000055457	ENSSSAG00000055457_Ssal_ENSSSAG00000081191_Ssal	AORe
ss4r	OG5v0000077.226	ENSSSAG00000104885	ENSSSAG00000121385	ENSSSAG00000104885_Ssal_ENSSSAG00000121385_Ssal	NA
ss4r	OG5v0000080.178	ENSSSAG00000040203	ENSSSAG00000075916	ENSSSAG00000040203_Ssal_ENSSSAG00000075916_Ssal	AORe
ss4r	OG5v0000080.205	ENSSSAG00000071355	ENSSSAG00000006493	ENSSSAG00000006493_Ssal_ENSSSAG00000071355_Ssal	LORe
ss4r	OG5v0000080.223	ENSSSAG00000080905	ENSSSAG00000079565	ENSSSAG00000079565_Ssal_ENSSSAG00000080905_Ssal	AORe
ss4r	OG5v0000080.245	ENSSSAG00000083080	ENSSSAG00000112245	ENSSSAG00000083080_Ssal_ENSSSAG00000112245_Ssal	NA
ss4r	OG5v0000080.261	ENSSSAG00000070160	ENSSSAG00000049640	ENSSSAG00000049640_Ssal_ENSSSAG00000070160_Ssal	AORe
ss4r	OG5v0000082.175	ENSSSAG00000093082	ENSSSAG00000105405	ENSSSAG00000093082_Ssal_ENSSSAG00000105405_Ssal	AORe
ss4r	OG5v0000082.196	ENSSSAG00000108308	ENSSSAG00000058897	ENSSSAG00000058897_Ssal_ENSSSAG00000108308_Ssal	AORe
ss4r	OG5v0000082.216	ENSSSAG00000079104	ENSSSAG00000048986	ENSSSAG00000048986_Ssal_ENSSSAG00000079104_Ssal	AORe
ss4r	OG5v0000082.238	ENSSSAG00000077825	ENSSSAG00000072482	ENSSSAG00000072482_Ssal_ENSSSAG00000077825_Ssal	AORe
ss4r	OG5v0000082.257	ENSSSAG00000074033	ENSSSAG00000059602	ENSSSAG00000059602_Ssal_ENSSSAG00000074033_Ssal	LORe
ss4r	OG5v0000082.278	ENSSSAG00000039813	ENSSSAG00000074204	ENSSSAG00000039813_Ssal_ENSSSAG00000074204_Ssal	AORe
ss4r	OG5v0000082.296	ENSSSAG00000065547	ENSSSAG00000004685	ENSSSAG00000004685_Ssal_ENSSSAG00000065547_Ssal	AORe
ss4r	OG5v0000084.195	ENSSSAG00000095438	ENSSSAG00000065398	ENSSSAG00000065398_Ssal_ENSSSAG00000095438_Ssal	NA
ss4r	OG5v0000088.162	ENSSSAG00000044553	ENSSSAG00000106340	ENSSSAG00000044553_Ssal_ENSSSAG00000106340_Ssal	LORe
ss4r	OG5v0000088.180	ENSSSAG00000043937	ENSSSAG00000007371	ENSSSAG00000007371_Ssal_ENSSSAG00000043937_Ssal	AORe
ss4r	OG5v0000088.203	ENSSSAG00000046668	ENSSSAG00000058403	ENSSSAG00000046668_Ssal_ENSSSAG00000058403_Ssal	AORe
ss4r	OG5v0000088.220	ENSSSAG00000104016	ENSSSAG00000104085	ENSSSAG00000104016_Ssal_ENSSSAG00000104085_Ssal	AORe
ss4r	OG5v0000088.242	ENSSSAG00000066568	ENSSSAG00000055849	ENSSSAG00000055849_Ssal_ENSSSAG00000066568_Ssal	LORe
ss4r	OG5v0000088.278	ENSSSAG00000063801	ENSSSAG00000055905	ENSSSAG00000055905_Ssal_ENSSSAG00000063801_Ssal	AORe
ss4r	OG5v0000088.257	ENSSSAG00000075643	ENSSSAG00000090171	ENSSSAG00000075643_Ssal_ENSSSAG00000090171_Ssal	AORe
ss4r	OG5v0000092.228	ENSSSAG00000102625	ENSSSAG00000086064	ENSSSAG00000086064_Ssal_ENSSSAG00000102625_Ssal	NA
ss4r	OG5v0000092.186	ENSSSAG00000102743	ENSSSAG00000114582	ENSSSAG00000102743_Ssal_ENSSSAG00000114582_Ssal	NA
ss4r	OG5v0000092.259	ENSSSAG00000122036	ENSSSAG00000092426	ENSSSAG00000092426_Ssal_ENSSSAG00000122036_Ssal	NA
ss4r	OG5v0000094.149	ENSSSAG00000073338	ENSSSAG00000121625	ENSSSAG00000073338_Ssal_ENSSSAG00000121625_Ssal	AORe
ss4r	OG5v0000094.189	ENSSSAG00000106605	ENSSSAG00000108059	ENSSSAG00000106605_Ssal_ENSSSAG00000108059_Ssal	NA
ss4r	OG5v0000094.198	ENSSSAG00000044931	ENSSSAG00000098076	ENSSSAG00000044931_Ssal_ENSSSAG00000098076_Ssal	AORe
ss4r	OG5v0000094.218	ENSSSAG00000104483	ENSSSAG00000119445	ENSSSAG00000104483_Ssal_ENSSSAG00000119445_Ssal	LORe
ss4r	OG5v0000094.250	ENSSSAG00000079931	ENSSSAG00000084612	ENSSSAG00000079931_Ssal_ENSSSAG00000084612_Ssal	AORe
ss4r	OG5v0000094.266	ENSSSAG00000094519	ENSSSAG00000078083	ENSSSAG00000078083_Ssal_ENSSSAG00000094519_Ssal	LORe
ss4r	OG5v0000094.168	ENSSSAG00000080386	ENSSSAG00000096919	ENSSSAG00000080386_Ssal_ENSSSAG00000096919_Ssal	AORe
ss4r	OG5v0000094.232	ENSSSAG00000073861	ENSSSAG00000106518	ENSSSAG00000073861_Ssal_ENSSSAG00000106518_Ssal	AORe
ss4r	OG5v0000098.146	ENSSSAG00000075845	ENSSSAG00000064261	ENSSSAG00000064261_Ssal_ENSSSAG00000075845_Ssal	AORe
ss4r	OG5v0000098.196	ENSSSAG00000037585	ENSSSAG00000057090	ENSSSAG00000037585_Ssal_ENSSSAG00000057090_Ssal	AORe
ss4r	OG5v0000098.218	ENSSSAG00000067809	ENSSSAG00000046988	ENSSSAG00000046988_Ssal_ENSSSAG00000067809_Ssal	NA
ss4r	OG5v0000098.256	ENSSSAG00000006686	ENSSSAG00000003820	ENSSSAG00000003820_Ssal_ENSSSAG00000006686_Ssal	AORe
ss4r	OG5v0000098.167	ENSSSAG00000070635	ENSSSAG00000069973	ENSSSAG00000069973_Ssal_ENSSSAG00000070635_Ssal	AORe
ss4r	OG5v0000098.240	ENSSSAG00000069947	ENSSSAG00000005527	ENSSSAG00000005527_Ssal_ENSSSAG00000069947_Ssal	AORe
ss4r	OG5v0000103.143	ENSSSAG00000029801	ENSSSAG00000065415	ENSSSAG00000029801_Ssal_ENSSSAG00000065415_Ssal	AORe
ss4r	OG5v0000103.163	ENSSSAG00000041266	ENSSSAG00000064682	ENSSSAG00000041266_Ssal_ENSSSAG00000064682_Ssal	NA
ss4r	OG5v0000103.192	ENSSSAG00000061495	ENSSSAG00000110196	ENSSSAG00000061495_Ssal_ENSSSAG00000110196_Ssal	NA
ss4r	OG5v0000103.233	ENSSSAG00000090893	ENSSSAG00000041304	ENSSSAG00000041304_Ssal_ENSSSAG00000090893_Ssal	AORe
ss4r	OG5v0000103.252	ENSSSAG00000029049	ENSSSAG00000065435	ENSSSAG00000029049_Ssal_ENSSSAG00000065435_Ssal	NA
ss4r	OG5v0000106.139	ENSSSAG00000090709	ENSSSAG00000101086	ENSSSAG00000090709_Ssal_ENSSSAG00000101086_Ssal	NA
ss4r	OG5v0000106.205	ENSSSAG00000042837	ENSSSAG00000077772	ENSSSAG00000042837_Ssal_ENSSSAG00000077772_Ssal	AORe
ss4r	OG5v0000106.229	ENSSSAG00000103786	ENSSSAG00000106636	ENSSSAG00000103786_Ssal_ENSSSAG00000106636_Ssal	AORe
ss4r	OG5v0000106.243	ENSSSAG00000055939	ENSSSAG00000091663	ENSSSAG00000055939_Ssal_ENSSSAG00000091663_Ssal	NA
ss4r	OG5v0000106.169	ENSSSAG00000086944	ENSSSAG00000109928	ENSSSAG00000086944_Ssal_ENSSSAG00000109928_Ssal	NA
ss4r	OG5v0000109.138	ENSSSAG00000095607	ENSSSAG00000091394	ENSSSAG00000091394_Ssal_ENSSSAG00000095607_Ssal	NA
ss4r	OG5v0000109.173	ENSSSAG00000046843	ENSSSAG00000111115	ENSSSAG00000046843_Ssal_ENSSSAG00000111115_Ssal	LORe
ss4r	OG5v0000109.189	ENSSSAG00000088748	ENSSSAG00000094167	ENSSSAG00000088748_Ssal_ENSSSAG00000094167_Ssal	LORe
ss4r	OG5v0000109.206	ENSSSAG00000082643	ENSSSAG00000101624	ENSSSAG00000082643_Ssal_ENSSSAG00000101624_Ssal	NA
ss4r	OG5v0000109.228	ENSSSAG00000041571	ENSSSAG00000092859	ENSSSAG00000041571_Ssal_ENSSSAG00000092859_Ssal	LORe
ss4r	OG5v0000109.246	ENSSSAG00000057247	ENSSSAG00000105849	ENSSSAG00000057247_Ssal_ENSSSAG00000105849_Ssal	NA
ss4r	OG5v0000111.241	ENSSSAG00000093403	ENSSSAG00000041189	ENSSSAG00000041189_Ssal_ENSSSAG00000093403_Ssal	NA
ss4r	OG5v0000114.164	ENSSSAG00000093085	ENSSSAG00000118278	ENSSSAG00000093085_Ssal_ENSSSAG00000118278_Ssal	LORe
ss4r	OG5v0000114.180	ENSSSAG00000075009	ENSSSAG00000071358	ENSSSAG00000071358_Ssal_ENSSSAG00000075009_Ssal	AORe
ss4r	OG5v0000114.243	ENSSSAG00000119031	ENSSSAG00000097582	ENSSSAG00000097582_Ssal_ENSSSAG00000119031_Ssal	NA
ss4r	OG5v0000114.232	ENSSSAG00000088702	ENSSSAG00000041746	ENSSSAG00000041746_Ssal_ENSSSAG00000088702_Ssal	NA
ss4r	OG5v0000115.136	ENSSSAG00000073728	ENSSSAG00000069992	ENSSSAG00000069992_Ssal_ENSSSAG00000073728_Ssal	AORe
ss4r	OG5v0000116.171	ENSSSAG00000003202	ENSSSAG00000047455	ENSSSAG00000003202_Ssal_ENSSSAG00000047455_Ssal	AORe
ss4r	OG5v0000116.206	ENSSSAG00000007877	ENSSSAG00000100753	ENSSSAG00000007877_Ssal_ENSSSAG00000100753_Ssal	AORe
ss4r	OG5v0000116.154	ENSSSAG00000078209	ENSSSAG00000065094	ENSSSAG00000065094_Ssal_ENSSSAG00000078209_Ssal	AORe
ss4r	OG5v0000118.212	ENSSSAG00000002336	ENSSSAG00000121883	ENSSSAG00000002336_Ssal_ENSSSAG00000121883_Ssal	NA
ss4r	OG5v0000119.169	ENSSSAG00000070162	ENSSSAG00000041837	ENSSSAG00000041837_Ssal_ENSSSAG00000070162_Ssal	AORe
ss4r	OG5v0000119.205	ENSSSAG00000067344	ENSSSAG00000075123	ENSSSAG00000067344_Ssal_ENSSSAG00000075123_Ssal	NA
ss4r	OG5v0000119.230	ENSSSAG00000048739	ENSSSAG00000068931	ENSSSAG00000048739_Ssal_ENSSSAG00000068931_Ssal	AORe
ss4r	OG5v0000122.130	ENSSSAG00000074998	ENSSSAG00000104948	ENSSSAG00000074998_Ssal_ENSSSAG00000104948_Ssal	NA
ss4r	OG5v0000122.213	ENSSSAG00000088615	ENSSSAG00000093827	ENSSSAG00000088615_Ssal_ENSSSAG00000093827_Ssal	AORe
ss4r	OG5v0000122.189	ENSSSAG00000064443	ENSSSAG00000022054	ENSSSAG00000022054_Ssal_ENSSSAG00000064443_Ssal	LORe
ss4r	OG5v0000125.197	ENSSSAG00000083206	ENSSSAG00000110236	ENSSSAG00000083206_Ssal_ENSSSAG00000110236_Ssal	NA
ss4r	OG5v0000125.219	ENSSSAG00000040384	ENSSSAG00000043491	ENSSSAG00000040384_Ssal_ENSSSAG00000043491_Ssal	NA
ss4r	OG5v0000126.126	ENSSSAG00000073569	ENSSSAG00000073616	ENSSSAG00000073569_Ssal_ENSSSAG00000073616_Ssal	AORe
ss4r	OG5v0000126.144	ENSSSAG00000004275	ENSSSAG00000057796	ENSSSAG00000004275_Ssal_ENSSSAG00000057796_Ssal	AORe
ss4r	OG5v0000126.167	ENSSSAG00000078241	ENSSSAG00000042162	ENSSSAG00000042162_Ssal_ENSSSAG00000078241_Ssal	AORe
ss4r	OG5v0000126.185	ENSSSAG00000080472	ENSSSAG00000002870	ENSSSAG00000002870_Ssal_ENSSSAG00000080472_Ssal	AORe
ss4r	OG5v0000126.202	ENSSSAG00000112883	ENSSSAG00000064816	ENSSSAG00000064816_Ssal_ENSSSAG00000112883_Ssal	AORe
ss4r	OG5v0000127.124	ENSSSAG00000015760	ENSSSAG00000101910	ENSSSAG00000015760_Ssal_ENSSSAG00000101910_Ssal	AORe
ss4r	OG5v0000127.143	ENSSSAG00000040589	ENSSSAG00000070663	ENSSSAG00000040589_Ssal_ENSSSAG00000070663_Ssal	NA
ss4r	OG5v0000127.165	ENSSSAG00000067659	ENSSSAG00000017038	ENSSSAG00000017038_Ssal_ENSSSAG00000067659_Ssal	AORe
ss4r	OG5v0000127.182	ENSSSAG00000076602	ENSSSAG00000007344	ENSSSAG00000007344_Ssal_ENSSSAG00000076602_Ssal	LORe
ss4r	OG5v0000127.203	ENSSSAG00000067893	ENSSSAG00000049010	ENSSSAG00000049010_Ssal_ENSSSAG00000067893_Ssal	NA
ss4r	OG5v0000127.220	ENSSSAG00000081196	ENSSSAG00000070485	ENSSSAG00000070485_Ssal_ENSSSAG00000081196_Ssal	AORe
ss4r	OG5v0000128.144	ENSSSAG00000000569	ENSSSAG00000070438	ENSSSAG00000000569_Ssal_ENSSSAG00000070438_Ssal	NA
ss4r	OG5v0000128.155	ENSSSAG00000108704	ENSSSAG00000072778	ENSSSAG00000072778_Ssal_ENSSSAG00000108704_Ssal	LORe
ss4r	OG5v0000128.188	ENSSSAG00000097007	ENSSSAG00000073658	ENSSSAG00000073658_Ssal_ENSSSAG00000097007_Ssal	AORe
ss4r	OG5v0000128.220	ENSSSAG00000091448	ENSSSAG00000095803	ENSSSAG00000091448_Ssal_ENSSSAG00000095803_Ssal	AORe
ss4r	OG5v0000129.139	ENSSSAG00000079061	ENSSSAG00000069207	ENSSSAG00000069207_Ssal_ENSSSAG00000079061_Ssal	AORe
ss4r	OG5v0000129.158	ENSSSAG00000063564	ENSSSAG00000083512	ENSSSAG00000063564_Ssal_ENSSSAG00000083512_Ssal	NA
ss4r	OG5v0000129.207	ENSSSAG00000000166	ENSSSAG00000092683	ENSSSAG00000000166_Ssal_ENSSSAG00000092683_Ssal	LORe
ss4r	OG5v0000129.220	ENSSSAG00000001815	ENSSSAG00000067379	ENSSSAG00000001815_Ssal_ENSSSAG00000067379_Ssal	AORe
ss4r	OG5v0000129.192	ENSSSAG00000088616	ENSSSAG00000073416	ENSSSAG00000073416_Ssal_ENSSSAG00000088616_Ssal	AORe
ss4r	OG5v0000132.141	ENSSSAG00000004993	ENSSSAG00000037692	ENSSSAG00000004993_Ssal_ENSSSAG00000037692_Ssal	LORe
ss4r	OG5v0000132.162	ENSSSAG00000077425	ENSSSAG00000095736	ENSSSAG00000077425_Ssal_ENSSSAG00000095736_Ssal	AORe
ss4r	OG5v0000132.181	ENSSSAG00000081123	ENSSSAG00000066824	ENSSSAG00000066824_Ssal_ENSSSAG00000081123_Ssal	AORe
ss4r	OG5v0000132.203	ENSSSAG00000066193	ENSSSAG00000054685	ENSSSAG00000054685_Ssal_ENSSSAG00000066193_Ssal	AORe
ss4r	OG5v0000132.219	ENSSSAG00000006917	ENSSSAG00000055321	ENSSSAG00000006917_Ssal_ENSSSAG00000055321_Ssal	AORe
ss4r	OG5v0000132.127	ENSSSAG00000056234	ENSSSAG00000086764	ENSSSAG00000056234_Ssal_ENSSSAG00000086764_Ssal	AORe
ss4r	OG5v0000133.124	ENSSSAG00000065944	ENSSSAG00000047988	ENSSSAG00000047988_Ssal_ENSSSAG00000065944_Ssal	NA
ss4r	OG5v0000133.141	ENSSSAG00000079179	ENSSSAG00000079495	ENSSSAG00000079179_Ssal_ENSSSAG00000079495_Ssal	AORe
ss4r	OG5v0000133.177	ENSSSAG00000119603	ENSSSAG00000115617	ENSSSAG00000115617_Ssal_ENSSSAG00000119603_Ssal	LORe
ss4r	OG5v0000133.200	ENSSSAG00000070643	ENSSSAG00000071223	ENSSSAG00000070643_Ssal_ENSSSAG00000071223_Ssal	AORe
ss4r	OG5v0000133.218	ENSSSAG00000045928	ENSSSAG00000077383	ENSSSAG00000045928_Ssal_ENSSSAG00000077383_Ssal	AORe
ss4r	OG5v0000134.155	ENSSSAG00000001899	ENSSSAG00000072851	ENSSSAG00000001899_Ssal_ENSSSAG00000072851_Ssal	LORe
ss4r	OG5v0000134.174	ENSSSAG00000003866	ENSSSAG00000075486	ENSSSAG00000003866_Ssal_ENSSSAG00000075486_Ssal	NA
ss4r	OG5v0000134.198	ENSSSAG00000067160	ENSSSAG00000077831	ENSSSAG00000067160_Ssal_ENSSSAG00000077831_Ssal	AORe
ss4r	OG5v0000134.124	ENSSSAG00000040294	ENSSSAG00000020900	ENSSSAG00000020900_Ssal_ENSSSAG00000040294_Ssal	AORe
ss4r	OG5v0000135.125	ENSSSAG00000067577	ENSSSAG00000050922	ENSSSAG00000050922_Ssal_ENSSSAG00000067577_Ssal	AORe
ss4r	OG5v0000135.142	ENSSSAG00000027734	ENSSSAG00000079533	ENSSSAG00000027734_Ssal_ENSSSAG00000079533_Ssal	AORe
ss4r	OG5v0000135.161	ENSSSAG00000073864	ENSSSAG00000074141	ENSSSAG00000073864_Ssal_ENSSSAG00000074141_Ssal	AORe
ss4r	OG5v0000135.179	ENSSSAG00000081302	ENSSSAG00000063990	ENSSSAG00000063990_Ssal_ENSSSAG00000081302_Ssal	AORe
ss4r	OG5v0000135.201	ENSSSAG00000001965	ENSSSAG00000004464	ENSSSAG00000001965_Ssal_ENSSSAG00000004464_Ssal	AORe
ss4r	OG5v0000135.217	ENSSSAG00000041250	ENSSSAG00000044376	ENSSSAG00000041250_Ssal_ENSSSAG00000044376_Ssal	AORe
ss4r	OG5v0000137.172	ENSSSAG00000000931	ENSSSAG00000008427	ENSSSAG00000000931_Ssal_ENSSSAG00000008427_Ssal	NA
ss4r	OG5v0000138.160	ENSSSAG00000009799	ENSSSAG00000084513	ENSSSAG00000009799_Ssal_ENSSSAG00000084513_Ssal	NA
ss4r	OG5v0000138.126	ENSSSAG00000080550	ENSSSAG00000055259	ENSSSAG00000055259_Ssal_ENSSSAG00000080550_Ssal	AORe
ss4r	OG5v0000138.180	ENSSSAG00000010154	ENSSSAG00000115361	ENSSSAG00000010154_Ssal_ENSSSAG00000115361_Ssal	LORe
ss4r	OG5v0000146.123	ENSSSAG00000041174	ENSSSAG00000009293	ENSSSAG00000009293_Ssal_ENSSSAG00000041174_Ssal	LORe
ss4r	OG5v0000146.139	ENSSSAG00000067079	ENSSSAG00000057661	ENSSSAG00000057661_Ssal_ENSSSAG00000067079_Ssal	NA
ss4r	OG5v0000146.158	ENSSSAG00000042327	ENSSSAG00000002468	ENSSSAG00000002468_Ssal_ENSSSAG00000042327_Ssal	NA
ss4r	OG5v0000146.180	ENSSSAG00000100528	ENSSSAG00000082306	ENSSSAG00000082306_Ssal_ENSSSAG00000100528_Ssal	LORe
ss4r	OG5v0000146.191	ENSSSAG00000000874	ENSSSAG00000042759	ENSSSAG00000000874_Ssal_ENSSSAG00000042759_Ssal	AORe
ss4r	OG5v0000149.149	ENSSSAG00000061846	ENSSSAG00000108761	ENSSSAG00000061846_Ssal_ENSSSAG00000108761_Ssal	AORe
ss4r	OG5v0000149.171	ENSSSAG00000093138	ENSSSAG00000070520	ENSSSAG00000070520_Ssal_ENSSSAG00000093138_Ssal	AORe
ss4r	OG5v0000149.191	ENSSSAG00000056039	ENSSSAG00000111785	ENSSSAG00000056039_Ssal_ENSSSAG00000111785_Ssal	AORe
ss4r	OG5v0000149.208	ENSSSAG00000116081	ENSSSAG00000059408	ENSSSAG00000059408_Ssal_ENSSSAG00000116081_Ssal	AORe
ss4r	OG5v0000151.196	ENSSSAG00000116503	ENSSSAG00000092671	ENSSSAG00000092671_Ssal_ENSSSAG00000116503_Ssal	LORe
ss4r	OG5v0000153.118	ENSSSAG00000066621	ENSSSAG00000075062	ENSSSAG00000066621_Ssal_ENSSSAG00000075062_Ssal	NA
ss4r	OG5v0000153.133	ENSSSAG00000088078	ENSSSAG00000069664	ENSSSAG00000069664_Ssal_ENSSSAG00000088078_Ssal	AORe
ss4r	OG5v0000153.156	ENSSSAG00000096438	ENSSSAG00000098501	ENSSSAG00000096438_Ssal_ENSSSAG00000098501_Ssal	AORe
ss4r	OG5v0000153.175	ENSSSAG00000108714	ENSSSAG00000084504	ENSSSAG00000084504_Ssal_ENSSSAG00000108714_Ssal	NA
