"ID" "spearman_coeff" "gene1" "gene2" "Common_SNP_0"
"ENSSSAG00000006230_Ssal_ENSSSAG00000045648_Ssal" 0.679132425518452 "ENSSSAG00000045648" "ENSSSAG00000006230" "ssa14_51370830"
"ENSSSAG00000006278_Ssal_ENSSSAG00000062572_Ssal" 0.78682987849112 "ENSSSAG00000006278" "ENSSSAG00000062572" "ssa14_51354372"
"ENSSSAG00000006392_Ssal_ENSSSAG00000043634_Ssal" 0.799946581612481 "ENSSSAG00000043634" "ENSSSAG00000006392" "ssa14_51354372"
"ENSSSAG00000006449_Ssal_ENSSSAG00000008058_Ssal" 0.796342917971149 "ENSSSAG00000006449" "ENSSSAG00000008058" "ssa14_51370830"
"ENSSSAG00000006481_Ssal_ENSSSAG00000070767_Ssal" 0.658445831508111 "ENSSSAG00000070767" "ENSSSAG00000006481" "ssa14_50819280"
"ENSSSAG00000006552_Ssal_ENSSSAG00000071892_Ssal" 0.55604601791174 "ENSSSAG00000071892" "ENSSSAG00000006552" "ssa14_51354372"
"ENSSSAG00000006693_Ssal_ENSSSAG00000051713_Ssal" 0.696129312999277 "ENSSSAG00000006693" "ENSSSAG00000051713" "ssa14_51370830"
"ENSSSAG00000006941_Ssal_ENSSSAG00000009173_Ssal" 0.627433395738155 "ENSSSAG00000006941" "ENSSSAG00000009173" "ssa14_51370830"
"ENSSSAG00000006978_Ssal_ENSSSAG00000112318_Ssal" 0.871162646529588 "ENSSSAG00000006978" "ENSSSAG00000112318" "ssa04_58880130"
"ENSSSAG00000007017_Ssal_ENSSSAG00000120399_Ssal" 0.839260562364677 "ENSSSAG00000007017" "ENSSSAG00000120399" "ssa14_51354372"
"ENSSSAG00000007100_Ssal_ENSSSAG00000056066_Ssal" 0.608725471240177 "ENSSSAG00000007100" "ENSSSAG00000056066" "ssa14_51370830"
"ENSSSAG00000007326_Ssal_ENSSSAG00000064172_Ssal" 0.737972361127824 "ENSSSAG00000007326" "ENSSSAG00000064172" "ssa14_51370830"
"ENSSSAG00000007378_Ssal_ENSSSAG00000010836_Ssal" 0.821766728830255 "ENSSSAG00000010836" "ENSSSAG00000007378" "ssa14_51354372"
"ENSSSAG00000007425_Ssal_ENSSSAG00000076233_Ssal" 0.72610426541508 "ENSSSAG00000007425" "ENSSSAG00000076233" "ssa14_50816222"
"ENSSSAG00000007690_Ssal_ENSSSAG00000062181_Ssal" 0.77257909804929 "ENSSSAG00000007690" "ENSSSAG00000062181" "ssa14_39958488"
"ENSSSAG00000007909_Ssal_ENSSSAG00000057875_Ssal" 0.871884957076297 "ENSSSAG00000057875" "ENSSSAG00000007909" "ssa14_48000689"
"ENSSSAG00000008143_Ssal_ENSSSAG00000063839_Ssal" 0.821811749842684 "ENSSSAG00000008143" "ENSSSAG00000063839" "ssa14_51370830"
"ENSSSAG00000008269_Ssal_ENSSSAG00000117570_Ssal" 0.897535774919941 "ENSSSAG00000008269" "ENSSSAG00000117570" "ssa14_51370830"
"ENSSSAG00000008406_Ssal_ENSSSAG00000118613_Ssal" 0.636612096299774 "ENSSSAG00000008406" "ENSSSAG00000118613" "ssa14_51370830"
"ENSSSAG00000008485_Ssal_ENSSSAG00000084668_Ssal" 0.605668313790098 "ENSSSAG00000008485" "ENSSSAG00000084668" "ssa14_51354372"
"ENSSSAG00000008494_Ssal_ENSSSAG00000113089_Ssal" 0.830885282231092 "ENSSSAG00000008494" "ENSSSAG00000113089" "ssa14_51354372"
"ENSSSAG00000008599_Ssal_ENSSSAG00000078996_Ssal" 0.589322518738692 "ENSSSAG00000078996" "ENSSSAG00000008599" "ssa14_51370830"
"ENSSSAG00000008620_Ssal_ENSSSAG00000044419_Ssal" 0.908092893777162 "ENSSSAG00000008620" "ENSSSAG00000044419" "ssa14_51370830"
"ENSSSAG00000008911_Ssal_ENSSSAG00000030661_Ssal" 0.873705248536087 "ENSSSAG00000030661" "ENSSSAG00000008911" "ssa14_51370830"
"ENSSSAG00000009345_Ssal_ENSSSAG00000077420_Ssal" 0.719974358205828 "ENSSSAG00000009345" "ENSSSAG00000077420" "ssa14_51370830"
"ENSSSAG00000009579_Ssal_ENSSSAG00000113112_Ssal" 0.85304725034276 "ENSSSAG00000113112" "ENSSSAG00000009579" "ssa14_51370830"
"ENSSSAG00000009779_Ssal_ENSSSAG00000073264_Ssal" 0.920908143246316 "ENSSSAG00000009779" "ENSSSAG00000073264" "ssa14_51370830"
"ENSSSAG00000010227_Ssal_ENSSSAG00000027269_Ssal" 0.889387212189881 "ENSSSAG00000010227" "ENSSSAG00000027269" "ssa14_51354372"
"ENSSSAG00000010327_Ssal_ENSSSAG00000070942_Ssal" 0.821870706210167 "ENSSSAG00000070942" "ENSSSAG00000010327" "ssa14_51370830"
"ENSSSAG00000010791_Ssal_ENSSSAG00000066873_Ssal" 0.549327994302232 "ENSSSAG00000066873" "ENSSSAG00000010791" "ssa18_4947735"
"ENSSSAG00000011770_Ssal_ENSSSAG00000015777_Ssal" 0.586112138999792 "ENSSSAG00000011770" "ENSSSAG00000015777" "ssa14_50820212"
"ENSSSAG00000015227_Ssal_ENSSSAG00000042622_Ssal" 0.769666238348714 "ENSSSAG00000042622" "ENSSSAG00000015227" "ssa07_41543250"
"ENSSSAG00000015451_Ssal_ENSSSAG00000078635_Ssal" 0.728353243267022 "ENSSSAG00000015451" "ENSSSAG00000078635" "ssa14_51354372"
"ENSSSAG00000015546_Ssal_ENSSSAG00000043245_Ssal" 0.800338703719444 "ENSSSAG00000015546" "ENSSSAG00000043245" "ssa14_51370830"
"ENSSSAG00000015616_Ssal_ENSSSAG00000057145_Ssal" 0.823479749279697 "ENSSSAG00000015616" "ENSSSAG00000057145" "ssa14_50819256"
"ENSSSAG00000015737_Ssal_ENSSSAG00000066735_Ssal" 0.932323449071923 "ENSSSAG00000066735" "ENSSSAG00000015737" "ssa14_51370830"
"ENSSSAG00000015785_Ssal_ENSSSAG00000042151_Ssal" 0.899915112284507 "ENSSSAG00000015785" "ENSSSAG00000042151" "ssa14_51370830"
"ENSSSAG00000015847_Ssal_ENSSSAG00000040587_Ssal" 0.870812765082496 "ENSSSAG00000015847" "ENSSSAG00000040587" "ssa14_51354372"
"ENSSSAG00000015906_Ssal_ENSSSAG00000102384_Ssal" 0.334831448427078 "ENSSSAG00000015906" "ENSSSAG00000102384" "ssa11_18183913"
"ENSSSAG00000016259_Ssal_ENSSSAG00000080946_Ssal" 0.805850062976374 "ENSSSAG00000016259" "ENSSSAG00000080946" "ssa15_66298287"
"ENSSSAG00000016461_Ssal_ENSSSAG00000081394_Ssal" 0.641002230929682 "ENSSSAG00000081394" "ENSSSAG00000016461" "ssa14_51370830"
"ENSSSAG00000019169_Ssal_ENSSSAG00000048116_Ssal" 0.877821441475945 "ENSSSAG00000019169" "ENSSSAG00000048116" "ssa14_51370830"
"ENSSSAG00000019408_Ssal_ENSSSAG00000049638_Ssal" 0.828066485520701 "ENSSSAG00000019408" "ENSSSAG00000049638" "ssa14_51370830"
"ENSSSAG00000022054_Ssal_ENSSSAG00000064443_Ssal" 0.850215341614058 "ENSSSAG00000064443" "ENSSSAG00000022054" "ssa14_51370830"
"ENSSSAG00000024596_Ssal_ENSSSAG00000045165_Ssal" 0.721887307961593 "ENSSSAG00000024596" "ENSSSAG00000045165" "ssa14_51370830"
"ENSSSAG00000029553_Ssal_ENSSSAG00000051687_Ssal" 0.812911149282816 "ENSSSAG00000029553" "ENSSSAG00000051687" "ssa14_51354372"
"ENSSSAG00000034990_Ssal_ENSSSAG00000071166_Ssal" 0.898126975523781 "ENSSSAG00000071166" "ENSSSAG00000034990" "ssa14_51354372"
"ENSSSAG00000037255_Ssal_ENSSSAG00000089671_Ssal" 0.69689360517096 "ENSSSAG00000037255" "ENSSSAG00000089671" "ssa03_46902886"
"ENSSSAG00000038591_Ssal_ENSSSAG00000070843_Ssal" 0.833295125188081 "ENSSSAG00000070843" "ENSSSAG00000038591" "ssa09_71587941"
"ENSSSAG00000039142_Ssal_ENSSSAG00000103633_Ssal" 0.822979209064974 "ENSSSAG00000103633" "ENSSSAG00000039142" "ssa14_51370830"
"ENSSSAG00000039454_Ssal_ENSSSAG00000080704_Ssal" 0.879944513293601 "ENSSSAG00000039454" "ENSSSAG00000080704" "ssa14_51354372"
"ENSSSAG00000039508_Ssal_ENSSSAG00000043493_Ssal" 0.814467346830681 "ENSSSAG00000043493" "ENSSSAG00000039508" "ssa14_51370830"
"ENSSSAG00000039712_Ssal_ENSSSAG00000051373_Ssal" 0.547408236770868 "ENSSSAG00000039712" "ENSSSAG00000051373" "ssa14_51354372"
"ENSSSAG00000040153_Ssal_ENSSSAG00000106889_Ssal" 0.885053311687901 "ENSSSAG00000106889" "ENSSSAG00000040153" "ssa14_51354372"
"ENSSSAG00000040214_Ssal_ENSSSAG00000069620_Ssal" 0.699890771055819 "ENSSSAG00000040214" "ENSSSAG00000069620" "ssa14_51354372"
"ENSSSAG00000040417_Ssal_ENSSSAG00000076509_Ssal" 0.827243111389924 "ENSSSAG00000076509" "ENSSSAG00000040417" "ssa03_10936001"
"ENSSSAG00000040480_Ssal_ENSSSAG00000069437_Ssal" 0.838062589875267 "ENSSSAG00000069437" "ENSSSAG00000040480" "ssa14_51370830"
"ENSSSAG00000040752_Ssal_ENSSSAG00000065498_Ssal" 0.837392346841774 "ENSSSAG00000040752" "ENSSSAG00000065498" "ssa24_39436702"
"ENSSSAG00000040919_Ssal_ENSSSAG00000113998_Ssal" 0.869501856391834 "ENSSSAG00000040919" "ENSSSAG00000113998" "ssa14_51354372"
"ENSSSAG00000041231_Ssal_ENSSSAG00000076737_Ssal" 0.783654960879381 "ENSSSAG00000041231" "ENSSSAG00000076737" "ssa14_50816222"
"ENSSSAG00000041559_Ssal_ENSSSAG00000081518_Ssal" 0.846588926144783 "ENSSSAG00000081518" "ENSSSAG00000041559" "ssa14_51370830"
"ENSSSAG00000041645_Ssal_ENSSSAG00000070444_Ssal" 0.852003893467067 "ENSSSAG00000041645" "ENSSSAG00000070444" "ssa14_19961522"
"ENSSSAG00000041817_Ssal_ENSSSAG00000079759_Ssal" 0.895068980154307 "ENSSSAG00000041817" "ENSSSAG00000079759" "ssa14_51354372"
"ENSSSAG00000041925_Ssal_ENSSSAG00000081543_Ssal" 0.791577571812777 "ENSSSAG00000081543" "ENSSSAG00000041925" "ssa14_51370830"
"ENSSSAG00000041952_Ssal_ENSSSAG00000055045_Ssal" 0.494012708190732 "ENSSSAG00000055045" "ENSSSAG00000041952" "ssa14_51354372"
"ENSSSAG00000042527_Ssal_ENSSSAG00000045716_Ssal" 0.608017431966558 "ENSSSAG00000042527" "ENSSSAG00000045716" "ssa03_66831552"
"ENSSSAG00000042647_Ssal_ENSSSAG00000106483_Ssal" 0.72585175239702 "ENSSSAG00000106483" "ENSSSAG00000042647" "ssa14_35946455"
"ENSSSAG00000042805_Ssal_ENSSSAG00000105976_Ssal" 0.808617738914465 "ENSSSAG00000042805" "ENSSSAG00000105976" "ssa14_51370830"
"ENSSSAG00000043064_Ssal_ENSSSAG00000079737_Ssal" 0.566225105052733 "ENSSSAG00000079737" "ENSSSAG00000043064" "ssa14_51370830"
"ENSSSAG00000043068_Ssal_ENSSSAG00000054986_Ssal" -0.473060532730824 "ENSSSAG00000043068" "ENSSSAG00000054986" "ssa14_51354372"
"ENSSSAG00000043369_Ssal_ENSSSAG00000112160_Ssal" 0.724918588594388 "ENSSSAG00000112160" "ENSSSAG00000043369" "ssa14_50820814"
"ENSSSAG00000043373_Ssal_ENSSSAG00000060567_Ssal" 0.737192489782957 "ENSSSAG00000043373" "ENSSSAG00000060567" "ssa14_51370830"
"ENSSSAG00000043675_Ssal_ENSSSAG00000067732_Ssal" 0.909669934310551 "ENSSSAG00000043675" "ENSSSAG00000067732" "ssa14_51354372"
"ENSSSAG00000043901_Ssal_ENSSSAG00000081730_Ssal" 0.875578901907229 "ENSSSAG00000043901" "ENSSSAG00000081730" "ssa14_51370830"
"ENSSSAG00000043967_Ssal_ENSSSAG00000044857_Ssal" 0.726068927469553 "ENSSSAG00000044857" "ENSSSAG00000043967" "ssa14_51370830"
"ENSSSAG00000043976_Ssal_ENSSSAG00000059523_Ssal" 0.913355407716186 "ENSSSAG00000043976" "ENSSSAG00000059523" "ssa14_51370830"
"ENSSSAG00000044070_Ssal_ENSSSAG00000090330_Ssal" 0.427159415431151 "ENSSSAG00000090330" "ENSSSAG00000044070" "ssa14_51354372"
"ENSSSAG00000044821_Ssal_ENSSSAG00000048599_Ssal" 0.734379234325957 "ENSSSAG00000044821" "ENSSSAG00000048599" "ssa14_51354372"
"ENSSSAG00000045126_Ssal_ENSSSAG00000057083_Ssal" 0.389808254129205 "ENSSSAG00000057083" "ENSSSAG00000045126" "ssa14_51354372"
"ENSSSAG00000045687_Ssal_ENSSSAG00000053658_Ssal" 0.834920643116723 "ENSSSAG00000053658" "ENSSSAG00000045687" "ssa14_65149390"
"ENSSSAG00000046077_Ssal_ENSSSAG00000076952_Ssal" 0.659070974286925 "ENSSSAG00000076952" "ENSSSAG00000046077" "ssa14_51370830"
"ENSSSAG00000046088_Ssal_ENSSSAG00000046443_Ssal" 0.745630335964222 "ENSSSAG00000046443" "ENSSSAG00000046088" "ssa14_51354372"
"ENSSSAG00000046143_Ssal_ENSSSAG00000065153_Ssal" 0.74105905805738 "ENSSSAG00000065153" "ENSSSAG00000046143" "ssa11_84417933"
"ENSSSAG00000047203_Ssal_ENSSSAG00000093981_Ssal" 0.715988080864291 "ENSSSAG00000047203" "ENSSSAG00000093981" "ssa02_20778647"
"ENSSSAG00000047981_Ssal_ENSSSAG00000057888_Ssal" -0.565272594128326 "ENSSSAG00000057888" "ENSSSAG00000047981" "ssa14_51354372"
"ENSSSAG00000048377_Ssal_ENSSSAG00000052840_Ssal" 0.735920259199797 "ENSSSAG00000048377" "ENSSSAG00000052840" "ssa14_51354372"
"ENSSSAG00000048515_Ssal_ENSSSAG00000070378_Ssal" 0.837581348374174 "ENSSSAG00000070378" "ENSSSAG00000048515" "ssa14_51354372"
"ENSSSAG00000048654_Ssal_ENSSSAG00000068934_Ssal" 0.607734120847786 "ENSSSAG00000048654" "ENSSSAG00000068934" "ssa14_51354372"
"ENSSSAG00000049592_Ssal_ENSSSAG00000078793_Ssal" 0.830922388553055 "ENSSSAG00000078793" "ENSSSAG00000049592" "ssa14_51370830"
"ENSSSAG00000049919_Ssal_ENSSSAG00000052502_Ssal" 0.903938764988019 "ENSSSAG00000052502" "ENSSSAG00000049919" "ssa14_51370830"
"ENSSSAG00000050151_Ssal_ENSSSAG00000068478_Ssal" 0.723148838154706 "ENSSSAG00000068478" "ENSSSAG00000050151" "ssa14_51370830"
"ENSSSAG00000050203_Ssal_ENSSSAG00000108029_Ssal" 0.822065101935249 "ENSSSAG00000108029" "ENSSSAG00000050203" "ssa14_51354372"
"ENSSSAG00000050777_Ssal_ENSSSAG00000064179_Ssal" 0.831516017629762 "ENSSSAG00000050777" "ENSSSAG00000064179" "ssa14_51370830"
"ENSSSAG00000050790_Ssal_ENSSSAG00000064193_Ssal" 0.906763186590363 "ENSSSAG00000064193" "ENSSSAG00000050790" "ssa14_51370830"
"ENSSSAG00000052192_Ssal_ENSSSAG00000069702_Ssal" 0.635996619013824 "ENSSSAG00000069702" "ENSSSAG00000052192" "ssa14_51370830"
"ENSSSAG00000053417_Ssal_ENSSSAG00000065356_Ssal" 0.562957863253337 "ENSSSAG00000065356" "ENSSSAG00000053417" "ssa14_51370830"
"ENSSSAG00000053624_Ssal_ENSSSAG00000080474_Ssal" 0.154061975981814 "ENSSSAG00000053624" "ENSSSAG00000080474" "ssa14_51370830"
"ENSSSAG00000053710_Ssal_ENSSSAG00000069514_Ssal" 0.717437529390299 "ENSSSAG00000053710" "ENSSSAG00000069514" "ssa14_51370830"
"ENSSSAG00000053796_Ssal_ENSSSAG00000068026_Ssal" 0.790091796767926 "ENSSSAG00000053796" "ENSSSAG00000068026" "ssa14_40164841"
"ENSSSAG00000054393_Ssal_ENSSSAG00000117250_Ssal" -0.11541270856343 "ENSSSAG00000054393" "ENSSSAG00000117250" "ssa17_62047452"
"ENSSSAG00000054457_Ssal_ENSSSAG00000064154_Ssal" 0.898116378585092 "ENSSSAG00000064154" "ENSSSAG00000054457" "ssa14_51370830"
"ENSSSAG00000054548_Ssal_ENSSSAG00000109524_Ssal" 0.965807213676818 "ENSSSAG00000054548" "ENSSSAG00000109524" "ssa14_50819280"
"ENSSSAG00000055027_Ssal_ENSSSAG00000121215_Ssal" 0.453320240005967 "ENSSSAG00000055027" "ENSSSAG00000121215" "ssa14_51354372"
"ENSSSAG00000055046_Ssal_ENSSSAG00000063149_Ssal" 0.574353189778865 "ENSSSAG00000055046" "ENSSSAG00000063149" "ssa14_51354372"
"ENSSSAG00000055063_Ssal_ENSSSAG00000096396_Ssal" 0.674557998342586 "ENSSSAG00000055063" "ENSSSAG00000096396" "ssa14_51370830"
"ENSSSAG00000055274_Ssal_ENSSSAG00000082246_Ssal" 0.816028009275162 "ENSSSAG00000055274" "ENSSSAG00000082246" "ssa14_50819257"
"ENSSSAG00000055828_Ssal_ENSSSAG00000071528_Ssal" 0.692988883029262 "ENSSSAG00000055828" "ENSSSAG00000071528" "ssa14_51354372"
"ENSSSAG00000055910_Ssal_ENSSSAG00000088667_Ssal" 0.902452086324469 "ENSSSAG00000088667" "ENSSSAG00000055910" "ssa14_50816201"
"ENSSSAG00000056033_Ssal_ENSSSAG00000085999_Ssal" 0.953025430371601 "ENSSSAG00000085999" "ENSSSAG00000056033" "ssa14_51354372"
"ENSSSAG00000056267_Ssal_ENSSSAG00000065650_Ssal" 0.776508503677224 "ENSSSAG00000056267" "ENSSSAG00000065650" "ssa22_34446049"
"ENSSSAG00000056376_Ssal_ENSSSAG00000076153_Ssal" 0.602558929564249 "ENSSSAG00000056376" "ENSSSAG00000076153" "ssa14_51354372"
"ENSSSAG00000056430_Ssal_ENSSSAG00000119516_Ssal" 0.521469467954555 "ENSSSAG00000056430" "ENSSSAG00000119516" "ssa14_51370830"
"ENSSSAG00000056717_Ssal_ENSSSAG00000071020_Ssal" 0.770449175542737 "ENSSSAG00000071020" "ENSSSAG00000056717" "ssa14_50820212"
"ENSSSAG00000057017_Ssal_ENSSSAG00000059228_Ssal" 0.793998576074428 "ENSSSAG00000059228" "ENSSSAG00000057017" "ssa14_51354372"
"ENSSSAG00000057209_Ssal_ENSSSAG00000063992_Ssal" 0.850789736521327 "ENSSSAG00000057209" "ENSSSAG00000063992" "ssa14_51354372"
"ENSSSAG00000057697_Ssal_ENSSSAG00000065381_Ssal" 0.824111233525448 "ENSSSAG00000057697" "ENSSSAG00000065381" "ssa14_51370830"
"ENSSSAG00000058006_Ssal_ENSSSAG00000093636_Ssal" -0.258659778056766 "ENSSSAG00000058006" "ENSSSAG00000093636" "ssa02_14695921"
"ENSSSAG00000058137_Ssal_ENSSSAG00000065677_Ssal" 0.541057371840345 "ENSSSAG00000058137" "ENSSSAG00000065677" "ssa14_51370830"
"ENSSSAG00000058922_Ssal_ENSSSAG00000077749_Ssal" 0.576340374123152 "ENSSSAG00000058922" "ENSSSAG00000077749" "ssa14_50872212"
"ENSSSAG00000059129_Ssal_ENSSSAG00000101043_Ssal" 0.68645278307903 "ENSSSAG00000059129" "ENSSSAG00000101043" "ssa14_51370830"
"ENSSSAG00000059208_Ssal_ENSSSAG00000109831_Ssal" 0.592560184535074 "ENSSSAG00000109831" "ENSSSAG00000059208" "ssa14_51370830"
"ENSSSAG00000059838_Ssal_ENSSSAG00000075167_Ssal" 0.847872431177929 "ENSSSAG00000059838" "ENSSSAG00000075167" "ssa14_51370830"
"ENSSSAG00000061239_Ssal_ENSSSAG00000079717_Ssal" 0.805348172150819 "ENSSSAG00000079717" "ENSSSAG00000061239" "ssa14_51370830"
"ENSSSAG00000061415_Ssal_ENSSSAG00000085847_Ssal" 0.705120012463484 "ENSSSAG00000061415" "ENSSSAG00000085847" "ssa11_20882220"
"ENSSSAG00000062822_Ssal_ENSSSAG00000078788_Ssal" 0.540177795853738 "ENSSSAG00000078788" "ENSSSAG00000062822" "ssa14_35969856"
"ENSSSAG00000062971_Ssal_ENSSSAG00000099276_Ssal" 0.865518382448304 "ENSSSAG00000099276" "ENSSSAG00000062971" "ssa14_40168956"
"ENSSSAG00000063214_Ssal_ENSSSAG00000076751_Ssal" 0.844553746270218 "ENSSSAG00000076751" "ENSSSAG00000063214" "ssa15_26623699"
"ENSSSAG00000063507_Ssal_ENSSSAG00000069698_Ssal" 0.730832643887058 "ENSSSAG00000069698" "ENSSSAG00000063507" "ssa14_50820817"
"ENSSSAG00000063527_Ssal_ENSSSAG00000072693_Ssal" 0.73496569899727 "ENSSSAG00000063527" "ENSSSAG00000072693" "ssa14_51354372"
"ENSSSAG00000063692_Ssal_ENSSSAG00000081333_Ssal" 0.912145865680227 "ENSSSAG00000063692" "ENSSSAG00000081333" "ssa14_51370830"
"ENSSSAG00000064277_Ssal_ENSSSAG00000114705_Ssal" 0.71607322753378 "ENSSSAG00000064277" "ENSSSAG00000114705" "ssa14_51354372"
"ENSSSAG00000064506_Ssal_ENSSSAG00000105399_Ssal" 0.624608748231136 "ENSSSAG00000105399" "ENSSSAG00000064506" "ssa14_51354372"
"ENSSSAG00000064907_Ssal_ENSSSAG00000075002_Ssal" 0.721730105472876 "ENSSSAG00000064907" "ENSSSAG00000075002" "ssa14_51370830"
"ENSSSAG00000064955_Ssal_ENSSSAG00000078898_Ssal" 0.802504451834844 "ENSSSAG00000064955" "ENSSSAG00000078898" "ssa14_51370830"
"ENSSSAG00000065070_Ssal_ENSSSAG00000077151_Ssal" 0.827031680750546 "ENSSSAG00000077151" "ENSSSAG00000065070" "ssa14_51354372"
"ENSSSAG00000065235_Ssal_ENSSSAG00000074858_Ssal" 0.654874924044596 "ENSSSAG00000065235" "ENSSSAG00000074858" "ssa14_51370830"
"ENSSSAG00000065351_Ssal_ENSSSAG00000073742_Ssal" 0.837105641537609 "ENSSSAG00000065351" "ENSSSAG00000073742" "ssa14_50819256"
"ENSSSAG00000065517_Ssal_ENSSSAG00000088265_Ssal" 0.724122758697865 "ENSSSAG00000065517" "ENSSSAG00000088265" "ssa14_51354372"
"ENSSSAG00000066161_Ssal_ENSSSAG00000074629_Ssal" 0.965780298748444 "ENSSSAG00000066161" "ENSSSAG00000074629" "ssa14_51370830"
"ENSSSAG00000066297_Ssal_ENSSSAG00000078929_Ssal" -0.341608264593432 "ENSSSAG00000078929" "ENSSSAG00000066297" "ssa14_51370830"
"ENSSSAG00000066462_Ssal_ENSSSAG00000074436_Ssal" 0.680784135621485 "ENSSSAG00000066462" "ENSSSAG00000074436" "ssa14_51354372"
