"gene1" "gene2" "ID" "regulation_0" "Common_SNP_0" "regulation_0.05" "Common_SNP_0.05" "regulation_0.1" "Common_SNP_0.1" "regulation_0.15" "Common_SNP_0.15" "regulation_0.2" "Common_SNP_0.2" "regulation_0.25" "Common_SNP_0.25" "regulation_0.3" "Common_SNP_0.3" "regulation_0.35" "Common_SNP_0.35" "regulation_0.4" "Common_SNP_0.4" "regulation_0.45" "Common_SNP_0.45" "regulation_0.5" "Common_SNP_0.5" "regulation_0.55" "Common_SNP_0.55" "regulation_0.6" "Common_SNP_0.6" "regulation_0.65" "Common_SNP_0.65" "regulation_0.7" "Common_SNP_0.7" "regulation_0.75" "Common_SNP_0.75" "regulation_0.8" "Common_SNP_0.8" "regulation_0.85" "Common_SNP_0.85" "regulation_0.9" "Common_SNP_0.9" "regulation_0.95" "Common_SNP_0.95" "regulation_1" "Common_SNP_1"
"ENSSSAG00000114641" "ENSSSAG00000100184" "ENSSSAG00000100184_Ssal_ENSSSAG00000114641_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000097854" "ENSSSAG00000094733" "ENSSSAG00000094733_Ssal_ENSSSAG00000097854_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000069531" "ENSSSAG00000077367" "ENSSSAG00000069531_Ssal_ENSSSAG00000077367_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000008334" "ENSSSAG00000041816" "ENSSSAG00000008334_Ssal_ENSSSAG00000041816_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000100131" "ENSSSAG00000101917" "ENSSSAG00000100131_Ssal_ENSSSAG00000101917_Ssal" "Distinct eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000078182" "ENSSSAG00000040149" "ENSSSAG00000040149_Ssal_ENSSSAG00000078182_Ssal" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA
"ENSSSAG00000051619" "ENSSSAG00000094843" "ENSSSAG00000051619_Ssal_ENSSSAG00000094843_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000119048" "ENSSSAG00000040145" "ENSSSAG00000040145_Ssal_ENSSSAG00000119048_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000015785" "ENSSSAG00000042151" "ENSSSAG00000015785_Ssal_ENSSSAG00000042151_Ssal" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372"
"ENSSSAG00000104771" "ENSSSAG00000120054" "ENSSSAG00000104771_Ssal_ENSSSAG00000120054_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000054478" "ENSSSAG00000096579" "ENSSSAG00000054478_Ssal_ENSSSAG00000096579_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000121643" "ENSSSAG00000003111" "ENSSSAG00000003111_Ssal_ENSSSAG00000121643_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000083357" "ENSSSAG00000113043" "ENSSSAG00000083357_Ssal_ENSSSAG00000113043_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000089469" "ENSSSAG00000089521" "ENSSSAG00000089469_Ssal_ENSSSAG00000089521_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000112764" "ENSSSAG00000084741" "ENSSSAG00000084741_Ssal_ENSSSAG00000112764_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000068379" "ENSSSAG00000044179" "ENSSSAG00000044179_Ssal_ENSSSAG00000068379_Ssal" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA
"ENSSSAG00000075402" "ENSSSAG00000008245" "ENSSSAG00000008245_Ssal_ENSSSAG00000075402_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000007690" "ENSSSAG00000062181" "ENSSSAG00000007690_Ssal_ENSSSAG00000062181_Ssal" "Shared eQTL" "ssa14_39958488" "Shared eQTL" "ssa14_39958488" "Shared eQTL" "ssa14_39958488" "Shared eQTL" "ssa14_39958488" "Shared eQTL" "ssa14_35853719" "Shared eQTL" "ssa14_35853719" "Shared eQTL" "ssa14_48000689" "Shared eQTL" "ssa14_48000689" "Shared eQTL" "ssa14_48000689" "Shared eQTL" "ssa14_39958488" "Shared eQTL" "ssa14_39958488" "Shared eQTL" "ssa14_39958488" "Shared eQTL" "ssa14_48000689" "Shared eQTL" "ssa14_48000689" "Shared eQTL" "ssa14_39958488" "Shared eQTL" "ssa14_35853719" "Shared eQTL" "ssa14_48000689" "Shared eQTL" "ssa14_48000689" "Shared eQTL" "ssa14_35853719" "Shared eQTL" "ssa14_35853719" "Shared eQTL" "ssa14_35853719"
"ENSSSAG00000112349" "ENSSSAG00000111819" "ENSSSAG00000111819_Ssal_ENSSSAG00000112349_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000046299" "ENSSSAG00000073229" "ENSSSAG00000046299_Ssal_ENSSSAG00000073229_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000099679" "ENSSSAG00000079577" "ENSSSAG00000079577_Ssal_ENSSSAG00000099679_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000083146" "ENSSSAG00000086340" "ENSSSAG00000083146_Ssal_ENSSSAG00000086340_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000100077" "ENSSSAG00000104554" "ENSSSAG00000100077_Ssal_ENSSSAG00000104554_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000100900" "ENSSSAG00000071985" "ENSSSAG00000071985_Ssal_ENSSSAG00000100900_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000121020" "ENSSSAG00000103004" "ENSSSAG00000103004_Ssal_ENSSSAG00000121020_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000004234" "ENSSSAG00000000489" "ENSSSAG00000000489_Ssal_ENSSSAG00000004234_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000000498" "ENSSSAG00000004247" "ENSSSAG00000000498_Ssal_ENSSSAG00000004247_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000046978" "ENSSSAG00000111099" "ENSSSAG00000046978_Ssal_ENSSSAG00000111099_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000072377" "ENSSSAG00000117241" "ENSSSAG00000072377_Ssal_ENSSSAG00000117241_Ssal" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372"
"ENSSSAG00000110640" "ENSSSAG00000016311" "ENSSSAG00000016311_Ssal_ENSSSAG00000110640_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000077200" "ENSSSAG00000039318" "ENSSSAG00000039318_Ssal_ENSSSAG00000077200_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000086671" "ENSSSAG00000044433" "ENSSSAG00000044433_Ssal_ENSSSAG00000086671_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000111969" "ENSSSAG00000045566" "ENSSSAG00000045566_Ssal_ENSSSAG00000111969_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000003355" "ENSSSAG00000045568" "ENSSSAG00000003355_Ssal_ENSSSAG00000045568_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000045031" "ENSSSAG00000065669" "ENSSSAG00000045031_Ssal_ENSSSAG00000065669_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000067465" "ENSSSAG00000050237" "ENSSSAG00000050237_Ssal_ENSSSAG00000067465_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000077260" "ENSSSAG00000073643" "ENSSSAG00000073643_Ssal_ENSSSAG00000077260_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
